Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Hay Mohammadi,370000,52,3.0,3.0,1.0,Nouveau
Villa,Hay Dakhla,5000000,366,10.333333333333334,3.0,2.0,Bon état
Villa,Hay Houda,3700000,300,7.375,3.0,3.0,Nouveau
Villa,Port,9500000,480,6.6234567901234565,6.0,4.0,Bon état
Villa,Port,16000000,644,6.6234567901234565,6.0,4.0,Bon état
Appartement,Hay Mohammadi,850000,96,1.0,1.0,1.0,Nouveau
Appartement,Haut Founty,3700000,134,5.0,4.0,2.0,Nouveau
Appartement,Hay Mohammadi,620000,58,3.0,2.0,1.0,Nouveau
Appartement,Founti,2600000,200,4.0,3.0,2.0,Nouveau
Appartement,Hay Salam,880000,81,3.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,1200000,86,4.0,3.0,2.0,Nouveau
Appartement,Secteur Touristique,3400000,146,8.0,3.0,2.0,Bon état
Appartement,Founti,1700000,89,1.0,2.0,2.0,Bon état
Appartement,Zone Industrielle Agadir,1357000,192,3.0,2.0,2.0,Nouveau
Villa,Ben Serguaou,1800000,110,7.0,5.0,4.0,À rénover
Appartement,Hay Mohammadi,1100000,96,3.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,960000,96,2.0,2.0,2.0,Bon état
Villa,Lekhiam,1250000,80,8.0,6.0,3.0,À rénover
Appartement,Port,2100000,124,5.0,2.0,2.0,Nouveau
Appartement,Port,2200000,130,5.0,2.0,2.0,Bon état
Appartement,Ville Nouvelle,380000,52,3.0,2.0,1.0,Bon état
Villa,Hay Mohammadi,2960000,264,1.0,1.0,1.0,Nouveau
Appartement,Secteur Touristique,1800000,80,2.0,1.0,2.0,Bon état
Appartement,Hay Mohammadi,1100000,71,4.0,2.0,1.0,Bon état
Appartement,Al Wifaq,1150000,89,2.0,2.0,1.0,Nouveau
Appartement,Hay Houda,1100000,105,4.0,3.0,2.0,Bon état
Appartement,Haut Anza,560000,64,5.0,2.0,2.0,Nouveau
Appartement,Hay Dakhla,650000,70,3.0,2.0,1.0,Bon état
Appartement,Hay Najah,1000000,105,3.0,2.0,2.0,Bon état
Appartement,Abattoirs,1030000,79,3.0,2.0,2.0,Nouveau
Villa,Secteur Touristique,4900000,240,7.0,6.0,4.0,Bon état
Appartement,Secteur Touristique,3250000,150,4.0,3.0,2.0,Bon état
Appartement,Hay Dakhla,900000,150,3.0,2.0,2.0,Bon état
Appartement,Founti,1750000,96,3.0,2.0,1.0,Bon état
Appartement,Secteur Touristique,2600000,125,3.0,2.0,1.0,Bon état
Appartement,Secteur Touristique,2750000,128,3.0,2.0,2.0,Bon état
Villa,Founti,4500000,178,7.0,5.0,3.0,Nouveau
Villa,Tilila,7000,300,4.0,4.0,4.0,Bon état
Appartement,Hay Dakhla,1750000,173,6.0,3.0,2.0,Bon état
Villa,Hay Najah,3900000,315,8.0,5.0,4.0,Nouveau
Appartement,Taddart Anza,640000,128,5.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,800000,84,1.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,740000,70,4.0,2.0,1.0,Nouveau
Appartement,Founti,2850000,135,3.0,2.0,2.0,Bon état
Villa,Cité Adrar,1600000,131,5.0,3.0,2.0,À rénover
Villa,Taddart,3300000,220,3.0,4.0,2.0,Bon état
Appartement,Haut Founty,3600000,280,4.0,4.0,3.0,Nouveau
Appartement,Zone Industrielle Agadir,900000,107,4.0,2.0,2.0,Nouveau
Appartement,Hay Salam,880000,62,3.0,2.0,1.0,Bon état
Appartement,Riad Salam,1300000,94,4.0,3.0,2.0,Nouveau
Villa,Al Wifaq,3500000,170,4.0,4.0,2.0,Nouveau
Villa,Ben Serguaou,2600000,126,3.0,3.0,2.0,Nouveau
